iter	Passed	Remaining
319	712	400
320	714	398
321	716	396
322	718	393
323	720	391
324	723	389
325	725	387
326	727	384
327	729	382
328	731	380
329	733	377
330	735	375
331	738	373
332	740	371
333	742	368
334	744	366
335	746	364
336	748	362
337	750	359
338	752	357
339	755	355
340	757	353
341	760	351
342	762	349
343	765	347
344	767	344
345	769	342
346	771	340
347	773	338
348	775	335
349	778	333
350	780	331
351	782	328
352	784	326
353	786	324
354	788	322
355	790	319
356	792	317
357	795	315
358	797	313
359	799	310
360	801	308
361	803	306
362	805	304
363	808	301
364	810	299
365	812	297
366	814	295
367	816	292
368	818	290
369	820	288
370	822	286
371	825	283
372	827	281
373	829	279
374	831	277
375	833	274
376	835	272
377	838	270
378	840	268
379	842	266
380	844	263
381	846	261
382	848	259
383	851	257
384	854	255
385	857	253
386	859	250
387	861	248
388	863	246
389	865	244
390	867	241
391	870	239
392	872	237
393	874	235
394	876	233
395	878	230
396	880	228
397	883	226
398	885	224
399	888	222
400	890	219
401	893	217
402	895	215
403	897	213
404	900	211
405	902	208
406	904	206
407	906	204
408	908	202
409	910	199
410	913	197
411	915	195
412	917	193
413	919	191
414	921	188
415	923	186
416	926	184
417	928	182
418	930	179
419	933	177
420	935	175
421	938	173
422	940	171
423	942	169
424	945	166
425	947	164
426	950	162
427	952	160
428	954	157
429	957	155
430	959	153
431	962	151
432	964	149
433	966	147
434	969	144
435	971	142
436	974	140
437	976	138
438	978	135
439	981	133
440	983	131
441	985	129
442	988	127
443	990	124
444	992	122
445	995	120
446	997	118
447	999	116
448	1001	113
449	1004	111
450	1006	109
451	1008	107
452	1010	104
453	1012	102
454	1014	100
455	1016	98
456	1018	95
457	1021	93
458	1023	91
459	1025	89
460	1027	86
461	1029	84
462	1031	82
463	1034	80
464	1036	77
465	1038	75
466	1040	73
467	1042	71
468	1044	69
469	1046	66
470	1049	64
471	1051	62
472	1053	60
473	1055	57
474	1057	55
475	1059	53
476	1061	51
477	1064	48
478	1066	46
479	1068	44
480	1070	42
481	1072	40
482	1074	37
483	1076	35
484	1078	33
485	1081	31
486	1083	28
487	1085	26
488	1087	24
489	1089	22
490	1091	20
491	1093	17
492	1096	15
493	1098	13
494	1100	11
495	1102	8
496	1104	6
497	1106	4
498	1108	2
499	1111	0
